"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Guatemala",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,3.324,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Guinea",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.74,"",,,,"",,,,"",,2001,0.5533,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Guinea-Bissau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.0166,"",,1996,0.175,"",,2000,0.175,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Guyana",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1.46,"",,,,"",,2000,1.64,"I",,,,"",,2010,1.445,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Haiti",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.9799,"",,1995,1.285,"",,,,"",,,,"",,2009,1.45,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Holy See",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Honduras",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2003,1.607,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Hungary",,,"",,,,"",,1970,2.98,"K",,1975,3.965,"K",,1980,4.805,"K",,1985,6.351,"",,1992,7.137,"K",,1996,6.01,"K",,2002,5.72,"K",,2007,5.584,"K",,2012,5.051,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Iceland",,,"",,,,"",,,,"",,,,"",,1980,0.108,"K",,1985,0.112,"K",,1992,0.167,"K",,,,"",,2002,0.165,"K",,2004,0.165,"K",,2012,3.571,"K",,2014,3.011,"K",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","India",,,"",,,,"",,,,"",,1975,380.0,"",,1980,438.3,"I",,1986,497.4,"I",,1990,500.0,"",,,,"",,2000,610.4,"I",,,,"",,2010,647.5,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Indonesia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,74.32,"",,,,"",,2000,113.3,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Iran (Islamic Republic of)",,,"",,,,"",,,,"",,1975,45.0,"",,,,"",,,,"",,,,"",,1995,83.0,"I",,2001,89.7,"I",,2004,93.1,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Iraq",,,"",,,,"",,,,"",,1975,40.56,"",,1980,40.8,"I",,1985,41.02,"",,1990,42.8,"",,1995,54.39,"I",,2000,65.99,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Ireland",,,"",,,,"",,,,"",,,,"",,1980,1.07,"K",,,,"",,,,"",,1994,1.176,"K",,,,"",,2007,0.7298,"K",,2009,0.757,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Israel",,,"",,,,"",,1970,1.542,"",,1975,1.598,"I",,1980,1.643,"",,1986,1.72,"",,1990,1.584,"",,1995,1.532,"K",,2002,1.543,"I",,2004,1.419,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Italy",,,"",,,,"",,1970,41.6,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,45.08,"K",,,,"",,2008,53.75,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Jamaica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.9275,"I",,,,"",,2007,0.8115,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Japan",,,"",,,,"",,,,"",,,,"",,1980,88.2,"",,,,"",,1992,91.4,"",,1997,89.19,"K",,2002,84.46,"K",,2007,82.75,"K",,2009,81.22,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Jordan",,,"",,,,"",,,,"",,1975,0.451,"",,1980,0.535,"I",,1985,0.619,"",,1992,0.937,"K",,,,"",,,,"",,2005,0.8662,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Kazakhstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,32.07,"I",,2002,18.64,"I",,2007,19.82,"I",,2010,19.98,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Kenya",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,2.049,"",,,,"",,,,"",,2003,2.32,"",,2010,3.218,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Kiribati",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Kuwait",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.255,"",,2002,0.415,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Kyrgyzstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,9.79,"",,2000,10.08,"I",,2006,7.707,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Lao People's Democratic Republic",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,3.493,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Latvia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.4062,"K",,2002,0.2445,"I",,2007,0.2066,"I",,2012,0.2482,"K",,2013,0.236,"I",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Lebanon",,,"",,,,"",,,,"",,1975,0.751,"",,,,"",,,,"",,,,"",,1994,1.291,"I",,2000,1.266,"I",,2005,1.096,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Lesotho",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.05,"",,,,"",,,,"",,2000,0.0438,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Liberia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.13,"",,,,"",,,,"",,2000,0.1308,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Libya",,,"",,,,"",,,,"",,1975,1.2,"",,1980,1.47,"",,1985,3.115,"I",,1990,4.76,"",,1994,4.6,"",,2000,4.308,"I",,2005,4.822,"",,2012,5.76,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Liechtenstein",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Lithuania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,4.347,"",,2001,2.768,"K",,2007,2.264,"I",,2011,0.6264,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Luxembourg",,,"",,,,"",,1970,0.0348,"K",,1975,0.0425,"K",,1980,0.0397,"K",,1985,0.067,"K",,,,"",,1995,0.0565,"K",,1999,0.0605,"K",,,,"",,2012,0.0445,"K",,2013,0.0431,"K",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Madagascar",,,"",,,,"",,,,"",,,,"",,,,"",,1984,16.3,"",,,,"",,,,"",,2000,13.37,"I",,2006,13.56,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Malawi",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.936,"",,2002,1.325,"I",,2005,1.357,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Malaysia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,10.12,"I",,1996,5.484,"I",,2000,9.301,"I",,2005,11.2,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Maldives",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0034,"",,,,"",,,,"",,,,"",,,,"",,2008,0.0047,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Mali",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.36,"",,,,"",,,,"",,,,"",,2006,5.186,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Malta",,,"",,,,"",,,,"",,,,"",,1980,0.02,"",,,,"",,,,"",,1995,0.0295,"",,2002,0.034,"I",,2007,0.0328,"K",,2012,0.017,"I",,2013,0.0224,"I",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Marshall Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Mauritania",,,"",,,,"",,,,"",,,,"",,1980,0.73,"",,,,"",,,,"",,,,"",,2000,1.599,"I",,2005,1.348,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Mauritius",,,"",,,,"",,,,"",,1975,0.36,"",,,,"",,,,"",,1990,0.566,"",,1995,0.615,"",,2000,0.61,"",,2003,0.725,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Mexico",,,"",,,,"",,,,"",,,,"",,1980,55.97,"K",,,,"",,,,"",,,,"",,2002,72.3,"",,2007,78.65,"I",,2011,79.48,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Micronesia (Federated States of)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Monaco",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.0067,"K",,1997,0.006,"K",,2002,0.0058,"K",,2007,0.0055,"K",,2009,0.005,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Mongolia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.428,"",,,,"",,2006,0.54,"I",,2009,0.551,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Montenegro",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2010,0.1609,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Morocco",,,"",,,,"",,,,"",,1975,9.0,"",,1980,10.05,"",,1985,11.0,"",,1992,11.04,"",,1995,11.26,"I",,2002,14.82,"",,,,"",,2010,10.35,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Mozambique",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.605,"",,,,"",,2001,0.8842,"I",,,,"",,,,"",,2015,1.473,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Myanmar",,,"",,,,"",,,,"",,,,"",,,,"",,1987,28.26,"I",,,,"",,,,"",,2000,33.23,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Namibia",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.14,"",,1991,0.2487,"I",,1995,0.2669,"I",,2002,0.2819,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Nauru",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Nepal",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,9.562,"I",,2006,9.497,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Netherlands",,,"",,,,"",,,,"",,,,"",,1980,9.198,"K",,1985,9.349,"K",,1991,7.983,"K",,1996,6.507,"K",,2002,8.906,"K",,2007,10.94,"",,2012,10.72,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","New Zealand",,,"",,,,"",,,,"",,,,"",,1980,1.2,"",,1985,1.9,"",,,,"",,,,"",,1999,3.14,"K",,2006,4.908,"K",,2010,5.201,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Nicaragua",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,1.387,"I",,,,"",,2011,1.545,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Niger",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1988,0.5,"",,,,"",,,,"",,2005,0.9836,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Nigeria",,,"",,,,"",,,,"",,,,"",,,,"",,1987,5.59,"I",,,,"",,,,"",,2000,10.31,"I",,2005,11.57,"I",,2010,12.47,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Niue",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Norway",,,"",,,,"",,,,"",,,,"",,1980,2.0,"",,,,"",,,,"",,1996,2.42,"K",,2002,2.399,"K",,2007,3.026,"K",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Occupied Palestinian Territory",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,0.269,"",,2005,0.408,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Oman",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,1.197,"",,,,"",,2000,1.3,"I",,2003,1.186,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Pakistan",,,"",,,,"",,,,"",,1975,153.4,"",,,,"",,,,"",,1991,155.6,"",,,,"",,2000,172.6,"I",,,,"",,2008,183.5,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Palau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Panama",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2010,1.037,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Papua New Guinea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.2714,"I",,2005,0.3921,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Paraguay",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.43,"",,,,"",,,,"",,2000,0.49,"I",,,,"",,2012,2.413,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Peru",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,13.56,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Philippines",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,78.9,"",,2009,81.56,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Poland",,,"",,,,"",,1970,10.11,"K",,1975,13.53,"K",,1980,15.13,"K",,1985,16.41,"K",,1992,13.38,"K",,1997,12.79,"K",,2002,11.72,"K",,2007,12.02,"",,2012,11.47,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Portugal",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,8.598,"K",,,,"",,1998,11.14,"K",,2007,9.146,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Puerto Rico",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.7976,"","[450]",,,"",,2000,0.8564,"","[451]",2005,0.9984,"","[452]",2010,1.017,"","[453]",,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Qatar",,,"",,,,"",,,,"",,1975,0.15,"",,,,"",,,,"",,,,"",,1994,0.1607,"",,2000,0.1639,"I",,2005,0.217,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Republic of Korea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,20.57,"K",,1997,25.44,"K",,2002,29.16,"K",,2005,29.04,"K",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Republic of Moldova",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1.963,"",,,,"",,,,"",,2007,1.065,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Romania",,,"",,,,"",,1970,9.59,"",,1975,14.4,"",,1980,18.8,"",,1985,20.5,"",,1990,20.41,"",,1997,12.46,"",,2002,9.222,"K",,2007,6.884,"K",,2012,6.482,"K",,2013,6.418,"K",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Russian Federation",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,77.1,"",,2001,66.2,"",,,,"",,,,"",,2013,61.0,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Rwanda",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.15,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Saint Kitts and Nevis",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2012,0.0123,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Saint Lucia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,0.0429,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Saint Vincent and the Grenadines",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.01,"",,,,"",,,,"",,,,"",,2013,0.0079,"I",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Samoa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","San Marino",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Sao Tome and Principe",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.007,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Saudi Arabia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,16.12,"",,,,"",,,,"",,2006,22.64,"K",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Senegal",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.36,"",,,,"",,,,"",,2002,2.221,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Serbia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,3.958,"K",,2012,3.869,"K",,2013,4.15,"K",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Seychelles",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1989,0.0119,"I",,,,"",,,,"",,2005,0.0127,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Sierra Leone",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.37,"",,,,"",,,,"",,2000,0.1889,"I",,2005,0.2122,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Singapore",,,"",,,,"",,,,"",,1975,0.19,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Slovakia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,1.31,"K",,2002,1.094,"K",,2007,0.688,"K",,2012,0.6653,"K",,2014,0.5593,"K",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Slovenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.8992,"K",,2007,0.9349,"K",,2012,0.9281,"K",,2013,1.156,"K",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Solomon Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Somalia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.81,"",,,,"",,,,"",,2000,3.29,"I",,2003,3.298,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","South Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,13.29,"",,1995,12.88,"I",,2000,12.73,"I",,,,"",,,,"",,2013,15.5,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","South Sudan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2011,0.658,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Spain",,,"",,,,"",,,,"",,1975,36.08,"K",,1980,39.92,"K",,1986,45.85,"",,1991,36.8,"K",,1997,34.5,"K",,2002,35.51,"K",,2007,34.97,"K",,2012,36.75,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Sri Lanka",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,9.769,"",,,,"",,2000,13.01,"I",,2005,12.95,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Sudan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2011,26.93,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Suriname",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.46,"",,,,"",,,,"",,2000,0.67,"I",,2006,0.6159,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Swaziland",,,"",,,,"",,,,"",,,,"",,1980,0.657,"",,,,"",,,,"",,,,"",,2000,1.042,"I",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Sweden",,,"",,,,"",,1970,4.073,"K",,1975,4.135,"K",,1980,4.106,"K",,1985,2.97,"K",,1992,2.973,"K",,1997,2.711,"K",,2002,2.676,"K",,2007,2.63,"K",,2010,2.689,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Switzerland",,,"",,,,"",,,,"",,1975,2.598,"K",,1980,2.589,"K",,1985,2.646,"K",,1992,2.695,"K",,1997,2.559,"K",,2002,2.518,"K",,,,"",,2012,2.005,"K",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Syrian Arab Republic",,,"",,,,"",,,,"",,1975,3.34,"",,,,"",,,,"",,,,"",,1997,14.43,"",,2002,16.36,"",,2005,14.14,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Tajikistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,11.52,"I",,2000,11.66,"I",,2006,11.19,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Thailand",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,57.31,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","The former Yugoslav Republic of Macedonia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,1.555,"",,2002,0.6332,"K",,2007,0.5512,"K",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Timor-Leste",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2004,1.172,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Togo",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.091,"",,,,"",,,,"",,2002,0.169,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Tokelau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Tonga",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Trinidad and Tobago",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.297,"",,2000,0.314,"",,2005,0.309,"I",,2011,0.3362,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Tunisia",,,"",,,,"",,,,"",,1975,1.07,"",,1980,1.9,"",,1985,2.3,"",,1990,3.067,"",,1995,2.849,"I",,2001,2.809,"I",,,,"",,2011,3.217,"I",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Turkey",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,31.6,"I",,,,"",,2000,42.0,"I",,2003,40.05,"I",,2008,41.96,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Turkmenistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,23.7,"I",,2000,24.91,"I",,2004,27.87,"I",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Tuvalu",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Uganda",,,"",,,,"",,1970,0.2,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.3174,"I",,,,"",,2008,0.637,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","Ukraine",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,26.0,"",,,,"",,2000,18.28,"",,2005,15.08,"",,2010,14.85,"",,,,"",
"Total freshwater withdrawal (primary and secondary) (10^9 m3/year)","United Arab Emirates",,,"",,,,"",,,,"",,,,"",,1980,0.9,"",,,,"",,,,"",,1995,1.723,"",,2000,2.334,"I",,2005,2.8,"I",,,,"",,,,"",
